__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781200113.740383,-3.270711883,-8.697291890,0.000000000,,,,,
1781200113.741542,-3.288654075,-8.647908184,0.000000000,,,,,
1781200113.742347,-3.310381110,-8.588290812,0.000000000,,,,,
1781200113.742482,,,,1781200113.742268801,0.782707660,-0.125756002,-0.795059096,-0.416337316
1781200113.747724,-3.328711664,-8.538135353,0.000000000,,,,,
1781200113.747816,,,,1781200113.747457743,0.782072881,-0.140766641,-0.797110170,-0.454839559
1781200113.748175,-3.421788480,-8.285906152,0.000000000,,,,,
1781200113.748261,,,,1781200113.748014688,0.781899620,-0.144859316,-0.797666040,-0.464750025
1781200113.748488,-3.446502034,-8.219339800,0.000000000,,,,,
1781200113.748564,,,,1781200113.748377562,0.781833398,-0.146418096,-0.797877918,-0.468467460
1781200113.749626,-3.455857891,-8.194185272,0.000000000,,,,,
1781200113.749763,,,,1781200113.749360561,0.781706542,-0.149353398,-0.798281732,-0.475427355
1781200113.751478,-3.473518613,-8.146792071,0.000000000,,,,,
1781200113.751981,-3.509641348,-8.050216228,0.000000000,,,,,
1781200113.752365,-3.526349443,-8.005669226,0.000000000,,,,,
1781200113.752556,,,,1781200113.751184225,0.781439478,-0.155325686,-0.799123255,-0.489434762
1781200113.752676,,,,1781200113.751802444,0.781314024,-0.158110453,-0.799516671,-0.495822302
1781200113.752836,,,,1781200113.752161026,0.781247597,-0.159578349,-0.799724451,-0.499154782
1781200113.753845,-3.535126703,-7.982298719,0.000000000,,,,,
1781200113.753989,,,,1781200113.753446817,0.781072638,-0.163364371,-0.800268188,-0.507703601
1781200113.755182,-3.557854559,-7.921912246,0.000000000,,,,,
1781200113.755338,,,,1781200113.754500866,0.780904687,-0.166943704,-0.800786974,-0.515673337
1781200113.756339,-3.579304319,-7.865064479,0.000000000,,,,,
1781200113.756491,,,,1781200113.755799294,0.780695126,-0.171321909,-0.801429514,-0.525293884
1781200113.757340,-3.605544442,-7.795713741,0.000000000,,,,,
1781200113.757358,,,,1781200113.756695032,0.780511891,-0.175095072,-0.801987765,-0.533452013
1781200113.757830,-3.628093226,-7.736274601,0.000000000,,,,,
1781200113.757890,,,,1781200113.757582426,0.780380824,-0.177770000,-0.802385275,-0.539155829
1781200113.758875,-3.644022095,-7.694367833,0.000000000,,,,,
1781200113.759023,,,,1781200113.758507252,0.780194956,-0.181501693,-0.802945472,-0.547035316
1781200113.760092,-3.666259657,-7.635989211,0.000000000,,,,,
1781200113.760180,,,,1781200113.759655237,0.780003477,-0.185290388,-0.803518930,-0.554926309
1781200113.761332,-3.688800666,-7.576952619,0.000000000,,,,,
1781200113.761427,,,,1781200113.760984182,0.779731409,-0.190557080,-0.804326672,-0.565744318
1781200113.761938,-3.720157666,-7.495064744,0.000000000,,,,,
1781200113.762378,,,,1781200113.761784315,0.779568643,-0.193683404,-0.804807402,-0.572042975
1781200113.762936,-3.738655109,-7.446869350,0.000000000,,,,,
1781200113.763389,,,,1781200113.762705803,0.779367452,-0.197492084,-0.805397888,-0.579629325
1781200113.763554,-3.761179703,-7.388303370,0.000000000,,,,,
1781200113.763560,,,,1781200113.763305426,0.779244698,-0.199802859,-0.805756787,-0.584168514
1781200113.765243,-3.774785012,-7.352985211,0.000000000,,,,,
1781200113.765376,,,,1781200113.764667273,0.778993359,-0.204443508,-0.806486066,-0.593208134
1781200113.766161,-3.802178277,-7.282028933,0.000000000,,,,,
1781200113.766376,,,,1781200113.765795946,0.778793255,-0.208099599,-0.807063215,-0.600210373
1781200113.766759,-3.823670526,-7.226480266,0.000000000,,,,,
1781200113.766848,,,,1781200113.766426086,0.778585714,-0.211845576,-0.807658165,-0.607290018
1781200113.768086,-3.845649205,-7.169788241,0.000000000,,,,,
1781200113.768213,,,,1781200113.767701149,0.778389982,-0.215341025,-0.808216076,-0.613806897
1781200113.768730,-3.866106073,-7.117121602,0.000000000,,,,,
1781200113.768805,,,,1781200113.768393278,0.778161003,-0.219376362,-0.808864505,-0.621235556
1781200113.770176,-3.889694211,-7.056514873,0.000000000,,,,,
1781200113.770361,,,,1781200113.769758224,0.777943404,-0.223168978,-0.809476945,-0.628115954
1781200113.771775,-3.911802205,-6.999823282,0.000000000,,,,,
1781200113.772015,-3.936389829,-6.936901364,0.000000000,,,,,
1781200113.772027,,,,1781200113.771001577,0.777697808,-0.227393912,-0.810163505,-0.635676100
1781200113.772708,-3.966887296,-6.859041919,0.000000000,,,,,
1781200113.772747,,,,1781200113.771914005,0.777387757,-0.232640131,-0.811023023,-0.644921248
1781200113.772763,,,,1781200113.772382498,0.777243046,-0.235082056,-0.811422621,-0.649143516
1781200113.773521,-3.980978182,-6.823126873,0.000000000,,,,,
1781200113.773627,,,,1781200113.773330688,0.777026579,-0.238692353,-0.812016933,-0.655331321
1781200113.774576,-4.001814486,-6.770098758,0.000000000,,,,,
1781200113.774680,,,,1781200113.774376392,0.776781822,-0.242727627,-0.812684627,-0.662158025
1781200113.779252,-4.025064089,-6.711034777,0.000000000,,,,,
1781200113.779419,,,,1781200113.775342941,0.776544508,-0.246601107,-0.813328063,-0.668616322
1781200113.779549,-4.047318310,-6.654599850,0.000000000,,,,,
1781200113.779564,,,,1781200113.776579142,0.776288207,-0.250738215,-0.814018466,-0.675418554
1781200113.779581,-4.071035868,-6.594561676,0.000000000,,,,,
1781200113.779593,,,,1781200113.779007435,0.775778092,-0.258763664,-0.815375582,-0.688418763
1781200113.780431,-4.117163507,-6.478130296,0.000000000,,,,,
1781200113.780478,,,,1781200113.780288219,0.775346021,-0.265464776,-0.816513217,-0.698962594
1781200113.780941,-4.155397384,-6.381912799,0.000000000,,,,,
1781200113.781605,-4.175402623,-6.331663635,0.000000000,,,,,
1781200113.781661,,,,1781200113.780800819,0.775117034,-0.269002033,-0.817112829,-0.704395159
1781200113.781690,,,,1781200113.781414747,0.774965238,-0.271337908,-0.817508875,-0.707937326
1781200113.782716,-4.188560998,-6.298648534,0.000000000,,,,,
1781200113.782851,,,,1781200113.782437563,0.774686118,-0.275580271,-0.818232368,-0.714316881
1781200113.783682,-4.212480185,-6.238717020,0.000000000,,,,,
1781200113.783732,,,,1781200113.783418655,0.774392807,-0.279993117,-0.818987507,-0.720852342
1781200113.784557,-4.237293172,-6.176649198,0.000000000,,,,,
1781200113.784693,,,,1781200113.784288406,0.774134050,-0.283855749,-0.819649754,-0.726482852
1781200113.785629,-4.258930746,-6.122606442,0.000000000,,,,,
1781200113.785818,,,,1781200113.785406828,0.773840686,-0.288191119,-0.820395621,-0.732715347
1781200113.786466,-4.283165615,-6.062168627,0.000000000,,,,,
1781200113.786612,,,,1781200113.786232710,0.773559471,-0.292311691,-0.821106132,-0.738547390
1781200113.787438,-4.306123707,-6.005000767,0.000000000,,,,,
1781200113.787558,,,,1781200113.787212133,0.773263053,-0.296614956,-0.821850186,-0.744548403
1781200113.788694,-4.330035644,-5.945545881,0.000000000,,,,,
1781200113.788753,,,,1781200113.788398743,0.772946662,-0.301163918,-0.822638941,-0.750794556
1781200113.789604,-4.355243564,-5.882964110,0.000000000,,,,,
1781200113.789672,,,,1781200113.789335251,0.772646150,-0.305448772,-0.823383295,-0.756582440
1781200113.790937,-4.378903850,-5.824310370,0.000000000,,,,,
1781200113.791049,,,,1781200113.790537596,0.772313356,-0.310147424,-0.824201829,-0.762832041
1781200113.791693,-4.404782770,-5.760251647,0.000000000,,,,,
1781200113.791812,,,,1781200113.791433811,0.772030700,-0.314111112,-0.824892936,-0.768015461
1781200113.792662,-4.426521788,-5.706512935,0.000000000,,,,,
1781200113.792749,,,,1781200113.792414904,0.771702630,-0.318668229,-0.825689658,-0.773890333
1781200113.793512,-4.451462105,-5.644943700,0.000000000,,,,,
1781200113.793580,,,,1781200113.793277979,0.771385131,-0.323043286,-0.826455718,-0.779438387
1781200113.794841,-4.475322929,-5.586118679,0.000000000,,,,,
1781200113.794942,,,,1781200113.794429302,0.771046232,-0.327671943,-0.827267837,-0.785215897
1781200113.795720,-4.500494960,-5.524144295,0.000000000,,,,,
1781200113.795833,,,,1781200113.795513868,0.770708703,-0.332244036,-0.828071246,-0.790827925
1781200113.796665,-4.525275128,-5.463215433,0.000000000,,,,,
1781200113.796989,,,,1781200113.796501398,0.770371618,-0.336773492,-0.828868278,-0.796296189
1781200113.797575,-4.549742363,-5.403132753,0.000000000,,,,,
1781200113.798265,,,,1781200113.797404766,0.770040798,-0.341185023,-0.829645464,-0.801535185
1781200113.798469,-4.573491877,-5.344883579,0.000000000,,,,,
1781200113.798970,,,,1781200113.798365593,0.769688549,-0.345843216,-0.830467389,-0.806979056
1781200113.800071,-4.598496461,-5.283630762,0.000000000,,,,,
1781200113.800653,-4.624186255,-5.220776856,0.000000000,,,,,
1781200113.800693,,,,1781200113.799735785,0.769322447,-0.350644432,-0.831315702,-0.812495610
1781200113.800709,,,,1781200113.800531149,0.768927516,-0.355777510,-0.832224046,-0.818290934
1781200113.801326,-4.651566338,-5.153871918,0.000000000,,,,,
1781200113.801501,,,,1781200113.801257610,0.768647621,-0.359400085,-0.832864446,-0.822304697
1781200113.802435,-4.670787063,-5.106952847,0.000000000,,,,,
1781200113.802503,,,,1781200113.802282333,0.768278586,-0.364133741,-0.833703064,-0.827480389
1781200113.803625,-4.695867026,-5.045794042,0.000000000,,,,,
1781200113.803730,,,,1781200113.803417444,0.767890403,-0.369072750,-0.834578971,-0.832787445
1781200113.804344,-4.721951378,-4.982257600,0.000000000,,,,,
1781200113.804411,,,,1781200113.804224253,0.767535856,-0.373554430,-0.835373872,-0.837516185
1781200113.805578,-4.745525201,-4.924896235,0.000000000,,,,,
1781200113.805689,,,,1781200113.805241823,0.767163086,-0.378231435,-0.836204078,-0.842369971
1781200113.809701,-4.770052193,-4.865275398,0.000000000,,,,,
1781200113.809868,,,,1781200113.809449434,0.765594449,-0.397075421,-0.839607771,-0.861590134
1781200113.810461,-4.869942224,-4.623154028,0.000000000,,,,,
1781200113.810777,,,,1781200113.810457230,0.765129567,-0.402697375,-0.840608569,-0.866927191
1781200113.811511,-4.898941811,-4.553004569,0.000000000,,,,,
1781200113.811678,,,,1781200113.811243057,0.764797617,-0.406695950,-0.841319198,-0.870643408
1781200113.812666,-4.919452705,-4.503429379,0.000000000,,,,,
1781200113.812775,,,,1781200113.812440872,0.764330055,-0.412275116,-0.842312390,-0.875750761
1781200113.813708,-4.948033389,-4.434408711,0.000000000,,,,,
1781200113.813919,,,,1781200113.813334942,0.763926835,-0.417058959,-0.843163225,-0.880038022
1781200113.814562,-4.972424234,-4.375555304,0.000000000,,,,,
1781200113.814632,,,,1781200113.814395189,0.763468842,-0.422449743,-0.844122449,-0.884781719
1781200113.816416,-4.999832183,-4.309475880,0.000000000,,,,,
1781200113.816746,,,,1781200113.815805674,0.763043173,-0.427428991,-0.845007862,-0.889073453
1781200113.816960,-5.025041604,-4.248744029,0.000000000,,,,,
1781200113.816993,,,,1781200113.816798210,0.762464258,-0.434129914,-0.846201002,-0.894739179
1781200113.817255,-5.058902121,-4.167242877,0.000000000,,,,,
1781200113.817341,,,,1781200113.817112684,0.762234255,-0.436793780,-0.846673301,-0.896933524
1781200113.818614,-5.072250030,-4.135132583,0.000000000,,,,,
1781200113.818728,,,,1781200113.818365812,0.761758709,-0.442247940,-0.847642549,-0.901380007
1781200113.819818,-5.099597826,-4.069382922,0.000000000,,,,,
1781200113.820019,,,,1781200113.819540739,0.761300346,-0.447471662,-0.848570139,-0.905548439
1781200113.820399,-5.125684671,-4.006706705,0.000000000,,,,,
1781200113.820468,,,,1781200113.820267677,0.760893414,-0.452085393,-0.849388487,-0.909154956
1781200113.821946,-5.148628808,-3.951612813,0.000000000,,,,,
1781200113.822019,,,,1781200113.821463823,0.760395571,-0.457685768,-0.850382088,-0.913453287
1781200113.822433,-5.176414443,-3.884933521,0.000000000,,,,,
1781200113.822479,,,,1781200113.822248220,0.759950918,-0.462660701,-0.851263575,-0.917187007
1781200113.824011,-5.200987459,-3.825996414,0.000000000,,,,,
1781200113.824167,,,,1781200113.823289394,0.759483982,-0.467851510,-0.852182778,-0.921005516
1781200113.824554,,,,1781200113.824293375,0.758968878,-0.473536844,-0.853189085,-0.925100722
1781200113.824629,-5.226543333,-3.764733683,0.000000000,,,,,
1781200113.825917,-5.254445465,-3.697881630,0.000000000,,,,,
1781200113.826941,,,,1781200113.825777531,0.758450835,-0.479217005,-0.854193459,-0.929098206
1781200113.827010,-5.282212812,-3.631385852,0.000000000,,,,,
1781200113.827017,,,,1781200113.826217413,0.758053241,-0.483560157,-0.854959839,-0.932084011
1781200113.828019,-5.303337489,-3.580816912,0.000000000,,,,,
1781200113.828781,-5.331452156,-3.513543025,0.000000000,,,,,
1781200113.829273,,,,1781200113.827610254,0.757518949,-0.489350547,-0.855981793,-0.935993687
1781200113.829328,,,,1781200113.828649759,0.756953792,-0.495432321,-0.857054086,-0.940001708
1781200113.829422,-5.360871886,-3.443175935,0.000000000,,,,,
1781200113.829526,,,,1781200113.829321623,0.756558245,-0.499676030,-0.857800357,-0.942727354
1781200113.830343,-5.381284195,-3.394367220,0.000000000,,,,,
1781200113.830530,,,,1781200113.830203056,0.756066961,-0.504912068,-0.858720853,-0.946030104
1781200113.831964,-5.406417936,-3.334286520,0.000000000,,,,,
1781200113.832244,,,,1781200113.831441879,0.755539876,-0.510494184,-0.859701181,-0.949472748
1781200113.832713,-5.433125657,-3.270461751,0.000000000,,,,,
1781200113.832753,,,,1781200113.832360983,0.755036598,-0.515795464,-0.860630727,-0.952663845
1781200113.833556,-5.458388566,-3.210104506,0.000000000,,,,,
1781200113.833648,,,,1781200113.833388567,0.754512876,-0.521279425,-0.861591094,-0.955888989
