__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781199588.323507,-5.551660773,-1.771598934,0.000000000,,,,,
1781199588.324675,-5.552283257,-1.746411447,0.000000000,,,,,
1781199588.325778,-5.552970027,-1.716630173,0.000000000,,,,,
1781199588.325929,,,,1781199588.325404406,0.775912636,-0.313714306,-0.792025389,-0.179089728
1781199588.326713,-5.553540044,-1.688837297,0.000000000,,,,,
1781199588.326821,,,,1781199588.326420307,0.775603485,-0.319094781,-0.792200483,-0.180725936
1781199588.327994,-5.554027056,-1.662019318,0.000000000,,,,,
1781199588.328089,,,,1781199588.327584982,0.775272862,-0.324749264,-0.792386201,-0.182418017
1781199588.328424,-5.554471132,-1.634293623,0.000000000,,,,,
1781199588.328444,,,,1781199588.328273773,0.774940375,-0.330339845,-0.792571460,-0.184062935
1781199588.333483,,,,1781199588.329797983,0.774566413,-0.336512853,-0.792777992,-0.185849165
1781199588.333689,-5.554838107,-1.607355600,0.000000000,,,,,
1781199588.333703,,,,1781199588.330221653,0.774254554,-0.341584607,-0.792948983,-0.187289928
1781199588.333714,-5.555176097,-1.578091882,0.000000000,,,,,
1781199588.334321,-5.555376218,-1.554523008,0.000000000,,,,,
1781199588.334439,,,,1781199588.334174871,0.773061424,-0.359996684,-0.793586790,-0.192442054
1781199588.335209,-5.556441766,-1.468841560,0.000000000,,,,,
1781199588.335304,,,,1781199588.334919453,0.772650302,-0.366234163,-0.793804670,-0.194090927
1781199588.335670,-5.556407526,-1.441822863,0.000000000,,,,,
1781199588.336189,,,,1781199588.335501194,0.772400406,-0.369987049,-0.793936420,-0.195064758
1781199588.336418,-5.556327493,-1.425903316,0.000000000,,,,,
1781199588.336586,,,,1781199588.336312532,0.772129254,-0.374015259,-0.794078587,-0.196098505
1781199588.337787,-5.556219789,-1.408985983,0.000000000,,,,,
1781199588.337868,,,,1781199588.337417841,0.771699274,-0.380297354,-0.794302105,-0.197691563
1781199588.339115,-5.556042517,-1.382812324,0.000000000,,,,,
1781199588.339246,,,,1781199588.338417530,0.771296840,-0.386088617,-0.794509669,-0.199132919
1781199588.339918,-5.555817424,-1.359111139,0.000000000,,,,,
1781199588.340032,,,,1781199588.339582443,0.770919953,-0.391437897,-0.794702659,-0.200441505
1781199588.340692,-5.555559375,-1.337571278,0.000000000,,,,,
1781199588.341143,,,,1781199588.340354681,0.770554681,-0.396555201,-0.794888423,-0.201673560
1781199588.341701,-5.555271903,-1.317262980,0.000000000,,,,,
1781199588.341979,,,,1781199588.341505527,0.770103431,-0.402779005,-0.795116020,-0.203149345
1781199588.342867,-5.554894332,-1.292853201,0.000000000,,,,,
1781199588.342996,,,,1781199588.342562914,0.769718198,-0.408023625,-0.795308975,-0.204369985
1781199588.343303,-5.554523127,-1.272643152,0.000000000,,,,,
1781199588.343601,,,,1781199588.343189716,0.769352619,-0.412941067,-0.795490902,-0.205496661
1781199588.344918,-5.554140106,-1.253955147,0.000000000,,,,,
1781199588.345051,,,,1781199588.344604015,0.768877153,-0.419240100,-0.795725571,-0.206918790
1781199588.347462,-5.553631519,-1.230261354,0.000000000,,,,,
1781199588.347638,,,,1781199588.347214699,0.768217657,-0.427801534,-0.796047479,-0.208815351
1781199588.348333,-5.552919729,-1.198449199,0.000000000,,,,,
1781199588.348490,,,,1781199588.348109245,0.767339182,-0.438915531,-0.796470218,-0.211214010
1781199588.348950,-5.551950916,-1.157855461,0.000000000,,,,,
1781199588.349142,,,,1781199588.348824978,0.766947182,-0.443819242,-0.796657674,-0.212236676
1781199588.349349,-5.551402667,-1.140599693,0.000000000,,,,,
1781199588.349394,,,,1781199588.349243641,0.766701830,-0.446867234,-0.796774546,-0.212862921
1781199588.350531,-5.551036509,-1.130028372,0.000000000,,,,,
1781199588.350671,,,,1781199588.350329161,0.766247050,-0.452446903,-0.796989649,-0.213998778
1781199588.352073,-5.550381363,-1.110729279,0.000000000,,,,,
1781199588.352264,,,,1781199588.351666927,0.765776112,-0.458152178,-0.797210793,-0.215140504
1781199588.352993,-5.549685966,-1.091241566,0.000000000,,,,,
1781199588.353097,,,,1781199588.352686405,0.765251466,-0.464421526,-0.797455225,-0.216373254
1781199588.354722,-5.548900319,-1.070080093,0.000000000,,,,,
1781199588.354997,,,,1781199588.354396820,0.764571234,-0.472411470,-0.797769002,-0.217914078
1781199588.355294,-5.547889179,-1.043404506,0.000000000,,,,,
1781199588.355773,,,,1781199588.355134249,0.763993553,-0.479100888,-0.798033271,-0.219172172
1781199588.357032,-5.546984886,-1.021509948,0.000000000,,,,,
1781199588.357217,,,,1781199588.356108189,0.763727047,-0.482166850,-0.798154726,-0.219736788
1781199588.357524,-5.546533357,-1.011681998,0.000000000,,,,,
1781199588.357537,,,,1781199588.356798410,0.763198021,-0.488177490,-0.798394037,-0.220833122
1781199588.357553,-5.545673909,-0.992434275,0.000000000,,,,,
1781199588.357556,,,,1781199588.357368708,0.762871916,-0.491854338,-0.798540888,-0.221491118
1781199588.359384,-5.545116806,-0.980855878,0.000000000,,,,,
1781199588.360274,,,,1781199588.358931303,0.762363046,-0.497525895,-0.798768456,-0.222494339
1781199588.361250,-5.544269449,-0.963062847,0.000000000,,,,,
1781199588.361607,,,,1781199588.360687256,0.761311219,-0.508983266,-0.799232359,-0.224484533
1781199588.361798,-5.542659923,-0.927141811,0.000000000,,,,,
1781199588.361828,,,,1781199588.361316204,0.760910187,-0.513313536,-0.799408306,-0.225208873
1781199588.362986,-5.541959778,-0.914057380,0.000000000,,,,,
1781199588.363091,,,,1781199588.362396002,0.760376603,-0.519011103,-0.799640804,-0.226148596
1781199588.364308,-5.541043869,-0.896937557,0.000000000,,,,,
1781199588.364565,,,,1781199588.364110231,0.759821749,-0.524868701,-0.799880875,-0.227096774
1781199588.365403,-5.540089895,-0.879520089,0.000000000,,,,,
1781199588.365482,,,,1781199588.365096331,0.758992905,-0.533476150,-0.800235830,-0.228463255
1781199588.366173,-5.538716953,-0.854065169,0.000000000,,,,,
1781199588.366759,,,,1781199588.366003990,0.758592385,-0.537602561,-0.800406512,-0.229099544
1781199588.371178,,,,1781199588.370635986,0.756210907,-0.561107229,-0.801394038,-0.232673891
1781199588.371493,-5.538006594,-0.842162930,0.000000000,,,,,
1781199588.371517,-5.534871048,-0.772190641,0.000000000,,,,,
1781199588.371821,,,,1781199588.371271133,0.755451443,-0.568501296,-0.801706246,-0.233705465
1781199588.373447,-5.533562815,-0.751839639,0.000000000,,,,,
1781199588.373529,,,,1781199588.373052835,0.754711076,-0.575618626,-0.802008085,-0.234672490
1781199588.374943,-5.532288737,-0.732495109,0.000000000,,,,,
1781199588.375077,,,,1781199588.374160290,0.753942367,-0.582914243,-0.802318829,-0.235638456
1781199588.375137,-5.530976378,-0.712879820,0.000000000,,,,,
1781199588.375143,,,,1781199588.374901772,0.753298635,-0.588959594,-0.802577233,-0.236417633
1781199588.375797,-5.529866808,-0.696852470,0.000000000,,,,,
1781199588.375919,,,,1781199588.375446320,0.753009929,-0.591657948,-0.802692762,-0.236757669
1781199588.377073,-5.529351144,-0.689816211,0.000000000,,,,,
1781199588.377213,,,,1781199588.376649380,0.752424308,-0.597081169,-0.802925639,-0.237434245
1781199588.377550,-5.528344039,-0.675641965,0.000000000,,,,,
1781199588.377595,,,,1781199588.377368450,0.751906636,-0.601836402,-0.803130369,-0.238015402
1781199588.379432,-5.527452361,-0.663329338,0.000000000,,,,,
1781199588.379539,,,,1781199588.379016399,0.751104321,-0.609117029,-0.803445028,-0.238889123
1781199588.379789,-5.526122708,-0.644495226,0.000000000,,,,,
1781199588.379822,,,,1781199588.379634619,0.750404889,-0.615397766,-0.803717371,-0.239621627
1781199588.380573,-5.524959872,-0.628450982,0.000000000,,,,,
1781199588.380665,,,,1781199588.380268574,0.750050426,-0.618563795,-0.803854890,-0.239981755
