__time,/current_EE_pose/header/header/stamp,/current_EE_pose/pose/orientation/pitch,/current_EE_pose/pose/orientation/roll,/current_EE_pose/pose/orientation/w,/current_EE_pose/pose/orientation/x,/current_EE_pose/pose/orientation/y,/current_EE_pose/pose/orientation/yaw,/current_EE_pose/pose/orientation/z,/current_EE_pose/pose/position/x,/current_EE_pose/pose/position/y,/current_EE_pose/pose/position/z,/equilibrium_pose/header/header/stamp,/equilibrium_pose/pose/orientation/pitch,/equilibrium_pose/pose/orientation/roll,/equilibrium_pose/pose/orientation/w,/equilibrium_pose/pose/orientation/x,/equilibrium_pose/pose/orientation/y,/equilibrium_pose/pose/orientation/yaw,/equilibrium_pose/pose/orientation/z,/equilibrium_pose/pose/position/x,/equilibrium_pose/pose/position/y,/equilibrium_pose/pose/position/z
1781381077.832659,,,,,,,,,,,,1781381077.809577942,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.832666,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.832696,,,,,,,,,,,,1781381077.812922239,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.832706,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.832731,,,,,,,,,,,,1781381077.817258358,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.832737,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.832765,,,,,,,,,,,,1781381077.819987297,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.832771,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.832793,,,,,,,,,,,,1781381077.823583603,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.832798,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.832819,,,,,,,,,,,,1781381077.827040672,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.832825,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.832852,,,,,,,,,,,,1781381077.829563379,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.838869,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
1781381077.840344,,,,,,,,,,,,1781381077.836020947,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.840394,,,,,,,,,,,,1781381077.839449883,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.845639,,,,,,,,,,,,1781381077.842678547,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000
1781381077.845653,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307100000,0.701000000,0.000000000,,,,,,,,,,,
