__time,/current_EE_pose/header/header/stamp,/current_EE_pose/pose/orientation/pitch,/current_EE_pose/pose/orientation/roll,/current_EE_pose/pose/orientation/w,/current_EE_pose/pose/orientation/x,/current_EE_pose/pose/orientation/y,/current_EE_pose/pose/orientation/yaw,/current_EE_pose/pose/orientation/z,/current_EE_pose/pose/position/x,/current_EE_pose/pose/position/y,/current_EE_pose/pose/position/z,/external_wrenches/force/x,/external_wrenches/force/y,/external_wrenches/force/z,/external_wrenches/torque/x,/external_wrenches/torque/y,/external_wrenches/torque/z
1781378813.316905,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.316910,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.316929,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.316933,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.316956,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.316961,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.316981,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.316986,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.317009,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.317014,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.317032,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.317038,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.317057,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.317068,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.317088,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.317093,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.317113,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.317118,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.317383,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.317924,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.319460,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.325111,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.325177,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.326654,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.326907,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.326918,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.328268,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.329080,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.330181,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.332273,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.334606,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.335539,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.338857,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.340008,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.307106897,0.707106666,0.000000000,,,,,,
1781378813.341134,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1781378813.344283,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
